# Frequency(cm^-1), Lineshape, Field_description, Quantum_correction, Spectra, Spectra_qm
1.724482028350859650e+02 1.344139111347354287e+02 6.376188615181198730e+11 4.191771454225900781e+13 8.570484498992773438e+13 3.592551227176348013e+27
1.847659316090206687e+02 1.296646481598033631e+02 7.286053323476591797e+11 4.211073801552311719e+13 9.447435406621582812e+13 3.978384773268185943e+27
1.970836603829554008e+02 1.404443501848756739e+02 8.251971733547297363e+11 4.230433899801007812e+13 1.158942807862012188e+14 4.902830942310022342e+27
2.094013891568901045e+02 1.068739623116367738e+02 9.273138448620714111e+11 4.249851733154779688e+13 9.910570490684801562e+13 4.211845517638941874e+27
2.217191179308248365e+02 1.211912630337567407e+02 1.034875823698669067e+12 4.269327284781620312e+13 1.254179081571410781e+14 5.354500972955177227e+27
2.340368467047595402e+02 8.702395680936783151e+01 1.147804591227854980e+12 4.288860536835780469e+13 9.988649717260695312e+13 4.283992558863527321e+27
2.463545754786942439e+02 1.205802646327389738e+02 1.266022621510459229e+12 4.308451470458896875e+13 1.526573427327650938e+14 6.577167527733295163e+27
2.586723042526289191e+02 8.482949129782333841e+01 1.389453369601531982e+12 4.328100065781172656e+13 1.178666225253444688e+14 5.101385367053480169e+27
2.709900330265636512e+02 1.189057951967665758e+02 1.518021259979165771e+12 4.347806301922642188e+13 1.805015250434202500e+14 7.847856680904301348e+27
2.833077618004983833e+02 1.222195769485974068e+02 1.651651675103983154e+12 4.367570156994465625e+13 2.018641689976510625e+14 8.816559202806281585e+27
2.956254905744330586e+02 1.316920028551380994e+02 1.790270944107846436e+12 4.387391608100311719e+13 2.357643662829212812e+14 1.034390602118776825e+28
3.079432193483677906e+02 9.513141426395395683e+01 1.933806331610376221e+12 4.407270631337803906e+13 1.839657312386838125e+14 8.107867644608347364e+27
3.202609481223024659e+02 9.865823898464950048e+01 2.082186026661882812e+12 4.427207201800007031e+13 2.054248066289058125e+14 9.094581833358656247e+27
3.325786768962371980e+02 8.485349569835804573e+01 2.235339131811312988e+12 4.447201293576998438e+13 1.896763394055226562e+14 8.435288619651901887e+27
3.448964056701719301e+02 8.009552674593263077e+01 2.393195652297850098e+12 4.467252879757496094e+13 1.916842663768721562e+14 8.563020909762851204e+27
3.572141344441066622e+02 9.346407997408810786e+01 2.555686485364805176e+12 4.487361932430539844e+13 2.388648860568323125e+14 1.071873196685787770e+28
3.695318632180413374e+02 8.639310972966485735e+01 2.722743409694463379e+12 4.507528422687242969e+13 2.352262701594556250e+14 1.060289098506454317e+28
3.818495919919760695e+02 1.035540466316159751e+02 2.894299074962547363e+12 4.527752320622600000e+13 2.997163813745146250e+14 1.357041541297066746e+28
3.941673207659108016e+02 1.003255982703062159e+02 3.070286991510991211e+12 4.548033595337363281e+13 3.080283792848787500e+14 1.400923417304948027e+28
4.064850495398454768e+02 7.097457789896122904e+01 3.250641520137729004e+12 4.568372214939969531e+13 2.307129097926130000e+14 1.053982446724524902e+28
4.188027783137802089e+02 6.558341001824078376e+01 3.435297862002196289e+12 4.588768146548542188e+13 2.252985482184760000e+14 1.033842801528573507e+28
4.311205070877149410e+02 5.524643745526356753e+01 3.624192048645300293e+12 4.609221356292933594e+13 2.002236993413461250e+14 9.228753510401079083e+27
4.434382358616496731e+02 5.777753664770962416e+01 3.817260932122563965e+12 4.629731809316850781e+13 2.205519333995816250e+14 1.021096301666374673e+28
4.557559646355843483e+02 4.609142553327728820e+01 4.014442175249240234e+12 4.650299469780022656e+13 1.850313625781480625e+14 8.604512472898370780e+27
4.680736934095190804e+02 4.079175413959708862e+01 4.215674241956128906e+12 4.670924300860436719e+13 1.719647472105067500e+14 8.032343166368779261e+27
4.803914221834538125e+02 5.953800723752438273e+01 4.420896387754900391e+12 4.691606264756635156e+13 2.632113611304966562e+14 1.234884070834959192e+28
4.927091509573884878e+02 3.506951871006617694e+01 4.630048650311717773e+12 4.712345322690062500e+13 1.623735777706234375e+14 7.651603697358484595e+27
5.050268797313231630e+02 3.639608195416313663e+01 4.843071840127956055e+12 4.733141434907482031e+13 1.762688396031967500e+14 8.343053484089514637e+27
5.173446085052578383e+02 2.747487878121869187e+01 5.059907531326849609e+12 4.753994560683446875e+13 1.390203460673807188e+14 6.609019690286583711e+27
5.296623372791925703e+02 3.937872279925753105e+01 5.280498052544899414e+12 4.774904658322827344e+13 2.079392690531848125e+14 9.928901844502959224e+27
5.419800660531273024e+02 3.408934202688094217e+01 5.504786477926881836e+12 4.795871685163395312e+13 1.876545490309987812e+14 8.999671382898730991e+27
5.542977948270620345e+02 2.632654512879430797e+01 5.732716618223323242e+12 4.816895597578473438e+13 1.509226227602454062e+14 7.269785171488228118e+27
5.666155236009967666e+02 3.260745747718332410e+01 5.964233011989302734e+12 4.837976350979637500e+13 1.944784743224542188e+14 9.408822595466341624e+27
5.789332523749314987e+02 2.356145947829671172e+01 6.199280916883479492e+12 4.859113899819473438e+13 1.460641061177281875e+14 7.097421283013595781e+27
5.912509811488661171e+02 2.904691347877385965e+01 6.437806301066225586e+12 4.880308197594395312e+13 1.869984026201758438e+14 9.126098372443014229e+27
6.035687099228008492e+02 2.422891550238102099e+01 6.679755834695790039e+12 4.901559196847514062e+13 1.618432396953809062e+14 7.932842199764909083e+27
6.158864386967355813e+02 3.284963223181473069e+01 6.925076881521374023e+12 4.922866849171572656e+13 2.274862287350195625e+14 1.119884414082689321e+28
6.282041674706703134e+02 2.786044052457170395e+01 7.173717490572111328e+12 4.944231105211926562e+13 1.998629294861640938e+14 9.881685127442704613e+27
6.405218962446049318e+02 3.071489468869879857e+01 7.425626387940825195e+12 4.965651914669580469e+13 2.280773325032252812e+14 1.132552642837371167e+28
6.528396250185397776e+02 2.661393860080316642e+01 7.680752968661570312e+12 4.987129226304292969e+13 2.044150879158956875e+14 1.019444459242924814e+28
6.651573537924743960e+02 2.774170541600465612e+01 7.939047288679887695e+12 5.008662987937715625e+13 2.202427111662879062e+14 1.103121515781642834e+28
6.774750825664092417e+02 1.919854755881040020e+01 8.200460056914789062e+12 5.030253146456601562e+13 1.574369224068036250e+14 7.919475743052677301e+27
6.897928113403438601e+02 2.154034349327649878e+01 8.464942627411383789e+12 5.051899647816064062e+13 1.823377718453196562e+14 9.211521253689361637e+27
7.021105401142785922e+02 2.490597432322728721e+01 8.732446991583264648e+12 5.073602437042882812e+13 2.174901005513161562e+14 1.103458304189859285e+28
7.144282688882133243e+02 2.042644340482227960e+01 9.002925770543505859e+12 5.095361458238875000e+13 1.838977537298229375e+14 9.370255266116441187e+27
7.267459976621480564e+02 1.701230297272005387e+01 9.276332207523470703e+12 5.117176654584306250e+13 1.578117739899903125e+14 8.075507256801132705e+27
7.390637264360826748e+02 2.348211373170979854e+01 9.552620160378267578e+12 5.139047968341362500e+13 2.243157130418263750e+14 1.152769209374641894e+28
7.513814552100175206e+02 2.762459421911903945e+01 9.831744094178089844e+12 5.160975340857672656e+13 2.715979410678898125e+14 1.401710276479094677e+28
7.636991839839521390e+02 2.363714930178632301e+01 1.011365907388431250e+13 5.182958712569875000e+13 2.390580695167695000e+14 1.239028104212075218e+28
7.760169127578868711e+02 3.736493239452980930e+01 1.039832075710953711e+13 5.204998023007249219e+13 3.885325521060338750e+14 2.022311165585867217e+28
7.883346415318216032e+02 3.110984911152902654e+01 1.068568538696057227e+13 5.227093210795385938e+13 3.324300600416140625e+14 1.737642909907823341e+28
8.006523703057562216e+02 3.363167020292867448e+01 1.097570978496351562e+13 5.249244213659909375e+13 3.691314517309501875e+14 1.937661137078572371e+28
8.129700990796909537e+02 4.384303570943900041e+01 1.126835134406991406e+13 5.271450968430254688e+13 4.940387303645621875e+14 2.604300943622324921e+28
8.252878278536256857e+02 6.801007802296888372e+01 1.156356802174319727e+13 5.293713411043491406e+13 7.864391633826627500e+14 4.163183546168625646e+28
8.376055566275604178e+02 4.236873479624473049e+01 1.186131833312449609e+13 5.316031476548192188e+13 5.025490507899873750e+14 2.671566572508989205e+28
8.499232854014950362e+02 3.329602983806828576e+01 1.216156134427685352e+13 5.338405099108360156e+13 4.049317093965399375e+14 2.161689502233153464e+28
8.622410141754298820e+02 3.520893981768065828e+01 1.246425666550714258e+13 5.360834212007388281e+13 4.388532628079660000e+14 2.352619585312013697e+28
8.745587429493645004e+02 2.467460914136216843e+01 1.276936444476461914e+13 5.383318747652086719e+13 3.150790766581741250e+14 1.696171100366857729e+28
8.868764717232993462e+02 3.643779592034396586e+01 1.307684536111546875e+13 5.405858637576734375e+13 4.764914225502221250e+14 2.575845272324344034e+28
8.991942004972339646e+02 3.264851508346730924e+01 1.338666061829230859e+13 5.428453812447197656e+13 4.370545911135742500e+14 2.372530661378033094e+28
9.115119292711686967e+02 4.809728192623942533e+01 1.369877193831798828e+13 5.451104202065081250e+13 6.588736959605376250e+14 3.591589172680637432e+28
9.238296580451034288e+02 4.209152432148473366e+01 1.401314155520271484e+13 5.473809735371929688e+13 5.898344885912235000e+14 3.228641765908762572e+28
9.361473868190381609e+02 3.002014778887092206e+01 1.432973220871379102e+13 5.496570340453478906e+13 4.301806786805317500e+14 2.364518359471559132e+28
9.484651155929727793e+02 3.673855036580368960e+01 1.464850713821711523e+13 5.519385944543938281e+13 5.381649172812243750e+14 2.970339880288640879e+28
9.607828443669076250e+02 2.739931096166430891e+01 1.496943007658966406e+13 5.542256474030335156e+13 4.101520695873705625e+14 2.273167963007545100e+28
9.731005731408422434e+02 3.385719504043623829e+01 1.529246524420212109e+13 5.565181854456887500e+13 5.177599784220436250e+14 2.881428436878346799e+28
9.854183019147769755e+02 3.297001946143298312e+01 1.561757734297096875e+13 5.588162010529425000e+13 5.149118289381876875e+14 2.877410721244606351e+28
9.977360306887117076e+02 3.329936084957824249e+01 1.594473155047913672e+13 5.611196866119861719e+13 5.309493695490599375e+14 2.979261438482001564e+28
1.010053759462646326e+03 4.960967964397369201e+01 1.627389351416459375e+13 5.634286344270695312e+13 8.073426437978467500e+14 4.548799633097608025e+28
1.022371488236581058e+03 3.853261723828770613e+01 1.660502934557600781e+13 5.657430367199552344e+13 6.398352400036152500e+14 3.619823316800866927e+28
1.034689217010515677e+03 2.479717307116729330e+01 1.693810561469474609e+13 5.680628856303789062e+13 4.200171364252960625e+14 2.385961465319621921e+28
1.047006945784450636e+03 3.349958654205062913e+01 1.727308934432258398e+13 5.703881732165111719e+13 5.786413513387070000e+14 3.300501833376185150e+28
1.059324674558385141e+03 3.516900588451839127e+01 1.760994800453421094e+13 5.727188914554247656e+13 6.193243649975266250e+14 3.546987637727183080e+28
1.071642403332319873e+03 3.387616876652188580e+01 1.794864950719400391e+13 5.750550322435655469e+13 6.080314798368540000e+14 3.496515622426849457e+28
1.083960132106254605e+03 3.779168090466555441e+01 1.828916220053614844e+13 5.773965873972279688e+13 6.911781818963330000e+14 3.990839235103631530e+28
1.096277860880189337e+03 2.991873124188410316e+01 1.863145486380761328e+13 5.797435486530327344e+13 5.574294907155543750e+14 3.231661510712882716e+28
1.108595589654124069e+03 3.239398205370180506e+01 1.897549670197310938e+13 5.820959076684098438e+13 6.146918996237947500e+14 3.578096392479318756e+28
1.120913318428058801e+03 2.474831631854143410e+01 1.932125734048144141e+13 5.844536560220846094e+13 4.781685883341753125e+14 2.794673796468278826e+28
1.133231047201993533e+03 5.358303625533095982e+01 1.966870682009249219e+13 5.868167852145677344e+13 1.053909030636491375e+15 6.184515092667072556e+28
1.145548775975928265e+03 5.503606108772370931e+01 2.001781559176425391e+13 5.891852866686486719e+13 1.101701721751125625e+15 6.491064447532807554e+28
1.157866504749862997e+03 5.156131280683227658e+01 2.036855451159911719e+13 5.915591517298925781e+13 1.050229410595576875e+15 6.212728192537044969e+28
1.170184233523797730e+03 4.653494126359051108e+01 2.072089483584890234e+13 5.939383716671414844e+13 9.642456241152646250e+14 5.727024758741868519e+28
1.182501962297732234e+03 3.690524409495188252e+01 2.107480821597782031e+13 5.963229376730175000e+13 7.777709414649588750e+14 4.638026526510928544e+28
1.194819691071666966e+03 1.752787572434038310e+01 2.143026669378287109e+13 5.987128408644314062e+13 3.756270513480970000e+14 2.248927390181488166e+28
1.207137419845601698e+03 2.987787680268706225e+01 2.178724269657087891e+13 6.011080722830919531e+13 6.509565531583881250e+14 3.912952388090847608e+28
1.219455148619536658e+03 3.098433710210760950e+01 2.214570903239166797e+13 6.035086228960217188e+13 6.861701140248127500e+14 4.141095805875209509e+28
1.231772877393471163e+03 2.536907331127846987e+01 2.250563888532666406e+13 6.059144835960731250e+13 5.709472027990116250e+14 3.459451795445855621e+28
1.244090606167405895e+03 1.243133513852678185e+01 2.286700581083238672e+13 6.083256452024497656e+13 2.842674128490967500e+14 1.729271573314579400e+28
1.256408334941340627e+03 2.450131042755495159e+01 2.322978373113805859e+13 6.107420984612296094e+13 5.691601423615792500e+14 3.476100597064031152e+28
1.268726063715275359e+03 1.746358001911815450e+01 2.359394693069693359e+13 6.131638340458921875e+13 4.120347801910530625e+14 2.526448255822025291e+28
1.281043792489209864e+03 2.415011377349335220e+01 2.395947005169058203e+13 6.155908425578478125e+13 5.786239277009342500e+14 3.561955911775493119e+28
1.293361521263144823e+03 1.860022383740540874e+01 2.432632808958564453e+13 6.180231145269709375e+13 4.524751476084556875e+14 2.796400999710286715e+28
1.305679250037079555e+03 1.591837371472684382e+01 2.469449638874233984e+13 6.204606404121350781e+13 3.930962222129730000e+14 2.439007337778521874e+28
1.317996978811014287e+03 1.686213420207450397e+01 2.506395063807430859e+13 6.229034106017519531e+13 4.226316992933798750e+14 2.632587269182603584e+28
1.330314707584948792e+03 1.166966563408803381e+01 2.543466686675906641e+13 6.253514154143121875e+13 2.968140578494958750e+14 1.856130911910477865e+28
1.342632436358883524e+03 2.024273035189643366e+01 2.580662143999866797e+13 6.278046450989293750e+13 5.223964791033623125e+14 3.279629361644166695e+28
1.354950165132818483e+03 1.964626120442068569e+01 2.617979105482974609e+13 6.302630898358873438e+13 5.143350133403413125e+14 3.241663747186658707e+28
1.367267893906753216e+03 1.662619081544791300e+01 2.655415273598273828e+13 6.327267397371882812e+13 4.414944103309972500e+14 2.793453188609242869e+28
1.379585622680687720e+03 1.502196610634753959e+01 2.692968383178939062e+13 6.351955848471054688e+13 4.045367977757955625e+14 2.569599878553717152e+28
1.391903351454622452e+03 1.863633364718624108e+01 2.730636201013830859e+13 6.376696151427374219e+13 5.088904731117886875e+14 3.245039921389998524e+28
1.404221080228557184e+03 3.039470144865902768e+01 2.768416525447769531e+13 6.401488205345640625e+13 8.414519377651891250e+14 5.386544654969092262e+28
1.416538809002491689e+03 1.966266115073818810e+01 2.806307185986506250e+13 6.426331908670065625e+13 5.517946728293428125e+14 3.546015713037364825e+28
1.428856537776426649e+03 1.928995014005533548e+01 2.844306042906321484e+13 6.451227159189882031e+13 5.486652175072103125e+14 3.539563952485339297e+28
1.441174266550361381e+03 2.616939718685043914e+01 2.882410986868189844e+13 6.476173854044987500e+13 7.543095797109520000e+14 4.885039977979730811e+28
1.453491995324296113e+03 1.754050304132580251e+01 2.920619938536488672e+13 6.501171889731595312e+13 5.122914291445605625e+14 3.330494638505042425e+28
1.465809724098230618e+03 2.129082189809520287e+01 2.958930848202169141e+13 6.526221162107919531e+13 6.299806969785215000e+14 4.111393356340723504e+28
1.478127452872165350e+03 2.334208325521942484e+01 2.997341695410360156e+13 6.551321566399879688e+13 6.996419939860917500e+14 4.583579683960097566e+28
1.490445181646100082e+03 2.047036696231497288e+01 3.035850488592342188e+13 6.576472997206814062e+13 6.214497354420845000e+14 4.086947404256187024e+28
1.502762910420035041e+03 1.747409503941288378e+01 3.074455264701850000e+13 6.601675348507229688e+13 5.372332348982341875e+14 3.546639403226466358e+28
1.515080639193969546e+03 1.886389771519202441e+01 3.113154088855653516e+13 6.626928513664554688e+13 5.872622030380487500e+14 3.891744638310308390e+28
1.527398367967904278e+03 1.711711164086830195e+01 3.151945053978367188e+13 6.652232385432926562e+13 5.395219537483037500e+14 3.589025413376511923e+28
1.539716096741839010e+03 1.915737155112103096e+01 3.190826280451438281e+13 6.677586855962980469e+13 6.112784460968972500e+14 4.081864916990115968e+28
1.552033825515773742e+03 2.762872254279707818e+01 3.229795915766270312e+13 6.702991816807672656e+13 8.923513522656548750e+14 5.981423811953945879e+28
1.564351554289708247e+03 2.267934204214349947e+01 3.268852134181439062e+13 6.728447158928102344e+13 7.413541563629161250e+14 4.988162267139603410e+28
1.576669283063643206e+03 1.599002688536877415e+01 3.307993136383946875e+13 6.753952772699365625e+13 5.289489918739468750e+14 3.572496510283577526e+28
1.588987011837577938e+03 1.742515882114696169e+01 3.347217149154467969e+13 6.779508547916416406e+13 5.832579043288336250e+14 3.954201948037142941e+28
1.601304740611512443e+03 1.120795991391556612e+01 3.386522425036549609e+13 6.805114373799945312e+13 3.795600758738578125e+14 2.582949728049787525e+28
1.613622469385447175e+03 8.138269980193951980e+00 3.425907242009723828e+13 6.830770139002273438e+13 2.788095806257679062e+14 1.904484157806242145e+28
1.625940198159381907e+03 1.098676954411458695e+01 3.465369903166470703e+13 6.856475731613254688e+13 3.807322051120069375e+14 2.610481124594075699e+28
1.638257926933316867e+03 1.396919570856764103e+01 3.504908736393007031e+13 6.882231039166203125e+13 4.896075607934242500e+14 3.369592351902958169e+28
1.650575655707251371e+03 1.277461406323716275e+01 3.544522094053849219e+13 6.908035948643815625e+13 4.527990179015513750e+14 3.127951893174531486e+28
1.662893384481186104e+03 9.669076366678771350e+00 3.584208352680110156e+13 6.933890346484128125e+13 3.465598427615190625e+14 2.403007948203154293e+28
1.675211113255120836e+03 1.204827684087876705e+01 3.623965912661477344e+13 6.959794118586464844e+13 4.366254457765336250e+14 3.038823209540712356e+28
1.687528842029055568e+03 1.066808114691760068e+01 3.663793197941855469e+13 6.985747150317405469e+13 3.908564314116845625e+14 2.730424201917406040e+28
1.699846570802990072e+03 1.089784280589214660e+01 3.703688655718598438e+13 7.011749326516766406e+13 4.036221677198728125e+14 2.830097462677055614e+28
1.712164299576925032e+03 8.485260704039689017e+00 3.743650756145324219e+13 7.037800531503589062e+13 3.176585265076838750e+14 2.235617346692424350e+28
1.724482028350859764e+03 1.245438867366027580e+01 3.783677992038242188e+13 7.063900649082135938e+13 4.712339632881873750e+14 3.328749899140974111e+28
1.736799757124794496e+03 1.050099703195155598e+01 3.823768878585972656e+13 7.090049562547890625e+13 4.015338564490003125e+14 2.846894943264402052e+28
1.749117485898729001e+03 8.254070118398157518e+00 3.863921953062814844e+13 7.116247154693587500e+13 3.189308273259843125e+14 2.269590592502607822e+28
1.761435214672663733e+03 7.721367656198310669e+00 3.904135774545417969e+13 7.142493307815214062e+13 3.014526769498173125e+14 2.153123727737051951e+28
1.773752943446598692e+03 9.160123876241486940e+00 3.944408923632821875e+13 7.168787903718054688e+13 3.613127435902899375e+14 2.590174425709253522e+28
1.786070672220533197e+03 6.043178539494381774e+00 3.984740002169828125e+13 7.195130823722718750e+13 2.408049526657750312e+14 1.732623137430608132e+28
1.798388400994467929e+03 9.300553871053539368e+00 4.025127632973668750e+13 7.221521948671189062e+13 3.743591638833782500e+14 2.703442918670010622e+28
1.810706129768402661e+03 1.005142446547255553e+01 4.065570459563919531e+13 7.247961158932856250e+13 4.086477438336328125e+14 2.961862974991714295e+28
1.823023858542337393e+03 1.040308441629151126e+01 4.106067145895641406e+13 7.274448334410582812e+13 4.271576313771351250e+14 3.107336120102170192e+28
1.835341587316271898e+03 1.291481413897255592e+01 4.146616376095699219e+13 7.300983354546751562e+13 5.355277980289587500e+14 3.909879539306502564e+28
1.847659316090206858e+03 9.258073225788143290e+00 4.187216854202226562e+13 7.327566098329331250e+13 3.876556024845848750e+14 2.840572050593475696e+28
1.859977044864141590e+03 7.183734528733466185e+00 4.227867303907201562e+13 7.354196444297929688e+13 3.037187633398143125e+14 2.233607449420226726e+28
1.872294773638076322e+03 1.060095756185079985e+01 4.268566468302092969e+13 7.380874270549873438e+13 4.525089198040983750e+14 3.339911443376385910e+28
1.884612502412010826e+03 7.654759341189084410e+00 4.309313109626546875e+13 7.407599454746260938e+13 3.298675478002239375e+14 2.443526667223424800e+28
1.896930231185945559e+03 5.695328286396673434e+00 4.350106009020089844e+13 7.434371874118040625e+13 2.477528180199625938e+14 1.841886582021095085e+28
1.909247959959880291e+03 7.792553754660290544e+00 4.390943966276778125e+13 7.461191405472082812e+13 3.421666689091305625e+14 2.552971009303816731e+28
1.921565688733815250e+03 7.098246543415205778e+00 4.431825799602807031e+13 7.488057925197239062e+13 3.145819216304895625e+14 2.355607651388964309e+28
1.933883417507749755e+03 6.639584679021873548e+00 4.472750345377010156e+13 7.514971309270426562e+13 2.969720466625498750e+14 2.231736410324380668e+28
1.946201146281684487e+03 9.198564656772250103e+00 4.513716457914236719e+13 7.541931433262687500e+13 4.151971268046112500e+14 3.131388261648051525e+28
1.958518875055619219e+03 8.842424402907449021e+00 4.554723009231554688e+13 7.568938172345267188e+13 4.027479388531315000e+14 3.048374248218844613e+28
1.970836603829553951e+03 7.921560404199372130e+00 4.595768888817272656e+13 7.595991401295673438e+13 3.640566085650625625e+14 2.765370868245080152e+28
1.983154332603488456e+03 6.659729228575606008e+00 4.636853003402724219e+13 7.623090994503748438e+13 3.088018547536970625e+14 2.354024638058962682e+28
1.995472061377423415e+03 8.134658001489238899e+00 4.677974276736800781e+13 7.650236825977729688e+13 3.805372088101785000e+14 2.911199768494404337e+28
2.007789790151358147e+03 5.987798156236436853e+00 4.719131649363186719e+13 7.677428769350304688e+13 2.825720778909390625e+14 2.169427000214990600e+28
2.020107518925292652e+03 8.820380413143709575e+00 4.760324078400282031e+13 7.704666697884673438e+13 4.198786926133823125e+14 3.235025380129682288e+28
2.032425247699227384e+03 5.550119919907753108e+00 4.801550537323765625e+13 7.731950484480598438e+13 2.664918128364440625e+14 2.060501501370856481e+28
2.044742976473162116e+03 6.650229654891018249e+00 4.842810015751779688e+13 7.759280001680448438e+13 3.220579877975572500e+14 2.498938104099031771e+28
2.057060705247096848e+03 7.045081866924915559e+00 4.884101519232704688e+13 7.786655121675250000e+13 3.440889504936676250e+14 2.679301988673378576e+28
2.069378434021031353e+03 5.879908748849930866e+00 4.925424069035489062e+13 7.814075716310706250e+13 2.896104407531780000e+14 2.263037912279448557e+28
2.081696162794966313e+03 6.127315921494092876e+00 4.966776701942511719e+13 7.841541657093245312e+13 3.043300996431827500e+14 2.386417153859355575e+28
2.094013891568901272e+03 5.326288047027031070e+00 5.008158470044935156e+13 7.869052815196037500e+13 2.667489459661752188e+14 2.099061544205706878e+28
2.106331620342835777e+03 6.767918543454944924e+00 5.049568440540545312e+13 7.896609061465003125e+13 3.417506788517922500e+14 2.698671507382878734e+28
2.118649349116770281e+03 6.890884529655109780e+00 5.091005695534021875e+13 7.924210266424837500e+13 3.508153238774144375e+14 2.779934391088561834e+28
2.130967077890705241e+03 6.818884571186957011e+00 5.132469331839632031e+13 7.951856300284995312e+13 3.499771593897150000e+14 2.782968079848951408e+28
2.143284806664639746e+03 7.485273020759921181e+00 5.173958460786303125e+13 7.979547032945695312e+13 3.872849167705624375e+14 3.090358208521162209e+28
2.155602535438574705e+03 5.594438492587438638e+00 5.215472208025063281e+13 8.007282334003896875e+13 2.917763847759541250e+14 2.336335891296021104e+28
2.167920264212509210e+03 4.952891901603909020e+00 5.257009713338810938e+13 8.035062072759275000e+13 2.603740083584888438e+14 2.092121319293600101e+28
2.180237992986444169e+03 6.354294848439185905e+00 5.298570130454393750e+13 8.062886118220182812e+13 3.366867688404010000e+14 2.714667074671677017e+28
2.192555721760378674e+03 5.881957386571970758e+00 5.340152626856959375e+13 8.090754339109609375e+13 3.141055018896300625e+14 2.541350452351725877e+28
2.204873450534313179e+03 4.429259697352885716e+00 5.381756383606569531e+13 8.118666603871115625e+13 2.383719665088019375e+14 1.935262523794094263e+28
2.217191179308248138e+03 4.442688510134328972e+00 5.423380595157038281e+13 8.146622780674768750e+13 2.409439065618965312e+14 1.962879118061919200e+28
2.229508908082183098e+03 5.989255932104384783e+00 5.465024469176964062e+13 8.174622737423064062e+13 3.273143022111375000e+14 2.675670937138928946e+28
2.241826636856117602e+03 7.635505444988262447e+00 5.506687226372953125e+13 8.202666341756825000e+13 4.204634030081799375e+14 3.448921003795732908e+28
2.254144365630052107e+03 7.310076865046947425e+00 5.548368100314979688e+13 8.230753461061106250e+13 4.055899728887701250e+14 3.338311073125925013e+28
2.266462094403987066e+03 4.871177277400757788e+00 5.590066337263885938e+13 8.258883962471065625e+13 2.723020412124272188e+14 2.248910961117450220e+28
2.278779823177921571e+03 5.972919807376460000e+00 5.631781196000972656e+13 8.287057712877842188e+13 3.363817745640450000e+14 2.787615179372504680e+28
2.291097551951856531e+03 4.894798999149471364e+00 5.673511947659672656e+13 8.315274578934400000e+13 2.777070060306713438e+14 2.309210007638823591e+28
2.303415280725791035e+03 6.790974924149098868e+00 5.715257875559282812e+13 8.343534427061370312e+13 3.881217291796873750e+14 3.238307009301311223e+28
2.315733009499725995e+03 5.971343311449335722e+00 5.757018275040721094e+13 8.371837123452884375e+13 3.437713257055600000e+14 2.877997546520419834e+28
2.328050738273660500e+03 7.485809655822132314e+00 5.798792453304285156e+13 8.400182534082373438e+13 4.340865653905373125e+14 3.646406384873397452e+28
2.340368467047595459e+03 6.411604252749338428e+00 5.840579729249407031e+13 8.428570524708364062e+13 3.744748583057707500e+14 3.156287752960360424e+28
2.352686195821529964e+03 3.581696363950385820e+00 5.882379433316360156e+13 8.457000960880256250e+13 2.106889702768573750e+14 1.781796824078254548e+28
2.365003924595464468e+03 5.812797370545082387e+00 5.924190907329905469e+13 8.485473707944090625e+13 3.443612132873436250e+14 2.922068021385481732e+28
2.377321653369399428e+03 6.021791858614413684e+00 5.966013504344856250e+13 8.513988631048289062e+13 3.592609154884750625e+14 3.058743350048876967e+28
