# Frequency(cm^-1), Lineshape, Field_description, Quantum_correction, Spectra, Spectra_qm
1.231772877393471255e+01 3.336695658596291196e+03 3.455687127507879257e+09 3.946101617433339062e+13 1.153057623582262891e+13 4.550082553411809498e+26
2.463545754786942510e+01 1.124354114388926973e+03 1.375807186462972450e+10 3.964652226671419531e+13 1.546894470705496680e+13 6.132898607708254378e+26
3.695318632180413232e+01 1.125333625312355935e+03 3.081104710940625381e+10 3.983260699742792188e+13 3.467270734329792578e+13 1.381104325142419348e+27
4.927091509573885020e+01 7.758199290356976690e+02 5.451970492032008362e+10 4.001927034090000781e+13 4.229747360232990625e+13 1.692714030828722252e+27
6.158864386967356097e+01 5.430120412342682812e+02 8.479032248911523438e+10 4.020651226132842969e+13 4.604216609172634375e+13 1.851194915505115379e+27
7.390637264360826464e+01 4.419197975070443931e+02 1.215303482711366730e+11 4.039433271268574219e+13 5.370666689894130469e+13 2.169444971605221283e+27
8.622410141754298252e+01 2.605254227075120639e+02 1.646483882714685669e+11 4.058273163872242188e+13 4.289509095253492188e+13 1.740799964745314993e+27
9.854183019147770040e+01 2.192464483880872876e+02 2.140541924851736450e+11 4.077170897296972656e+13 4.693062146495432812e+13 1.913441640289724101e+27
1.108595589654124183e+02 2.090210856517631157e+02 2.696586414899444580e+11 4.096126463874453906e+13 5.636434199960776562e+13 2.308754728834637296e+27
1.231772877393471219e+02 2.142082825534360779e+02 3.313737331895075684e+11 4.115139854915389844e+13 7.098299826984496875e+13 2.921049652016291670e+27
1.354950165132818256e+02 1.706919464377815245e+02 3.991125697061295166e+11 4.134211060710050781e+13 6.812530137092400781e+13 2.816443744418796344e+27
1.478127452872165293e+02 1.254332710930478925e+02 4.727893444205972290e+11 4.153340070528881250e+13 5.930351400861316406e+13 2.463076610551439085e+27
1.601304740611512329e+02 1.261250054642071916e+02 5.523193291580566406e+11 4.172526872623195312e+13 6.966127840804714062e+13 2.906635561388626823e+27
